"","AREA TERRITORIAL","CODIGO CENTRO","TIPO DE CENTRO","CENTRO","DOMICILIO","MUNICIPIO","DISTRITO MUNICIPAL","COD. POSTAL","TELEFONO","FAX","TITULARIDAD","NA","NA","ADDRESS","lon","lat","geoAddress"
"86","Madrid-Sur","28038598","CPR INF-PRI-SEC","ALTAMIRA","Calle Gerona, 4 ","Fuenlabrada","-","28945","916155866","916972137","Privado Concertado",NA,NA,"Calle Gerona, 4  Fuenlabrada",-3.7910594,40.2951795,"calle de gerona, 4, 28945 fuenlabrada, madrid, spain"
"87","Madrid-Capital","28011258","CPR INF-PRI-SEC","AMOR MISERICORDIOSO","Paseo De San Francisco De Sales, 42 ","Madrid","Chamberí","28003","915332233","915332507","Privado Concertado",NA,NA,"Paseo De San Francisco De Sales, 42  Madrid",-3.7119193,40.4426298,"paseo de s. fco. de sales, 42, 28003 madrid, spain"
"88","Madrid-Capital","28011261","CPR INF-PRI-SEC","AMOROS","Calle De Gómez De Arteche, 28 ","Madrid","Carabanchel","28044","915111130","915083064","Privado Concertado",NA,NA,"Calle De Gómez De Arteche, 28  Madrid",-3.7558971,40.369196,"calle gómez de arteche, 28, 28044 madrid, spain"
"89","Madrid-Oeste","28044331","CPR INF-PRI-SEC","ARCADIA","Calle Cetrería, 2 ","Villanueva de la Cañada","-","28690","918162322","918162376","Privado Concertado",NA,NA,"Calle Cetrería, 2  Villanueva de la Cañada",-3.9728031,40.4221738,"calle cetrería, 2, 28691 villanueva de la cañada, madrid, spain"
"90","Madrid-Capital","28015094","CPR INF-PRI-SEC","CENTRO CULTURAL ELFO","Calle Del Elfo, 74 ","Madrid","Ciudad Lineal","28027","913673653","914081287","Privado Concertado",NA,NA,"Calle Del Elfo, 74  Madrid",-3.6488387,40.4341406,"calle de elfo, 74, 28027 madrid, spain"
"91","Madrid-Capital","28019142","CPR INF-PRI-SEC","CENTRO CULTURAL PALOMERAS","Calle De Luis Marín, S/n ","Madrid","Puente de Vallecas","28038","917863865","917863865","Privado Concertado",NA,NA,"Calle De Luis Marín, S/n  Madrid",-3.639292,40.392111,"calle luis marín, 28038 madrid, spain"
"92","Madrid-Capital","28020120","CPR INF-PRI-SEC","CHAMBERI","Calle De Rafael Calvo, 12 ","Madrid","Chamberí","28010","914456250","914440340","Privado Concertado",NA,NA,"Calle De Rafael Calvo, 12  Madrid",-3.6957256,40.4336686,"calle rafael calvo, 12, 28010 madrid, spain"
"93","Madrid-Capital","28015148","CPR INF-PRI-SEC","CLARET","Calle De Corazón De María, 1 ","Madrid","Chamartín","28002","914152154","914167092","Privado Concertado",NA,NA,"Calle De Corazón De María, 1  Madrid",-3.672113,40.4403979,"calle del corazón de maría, 1, 28002 madrid, spain"
"94","Madrid-Sur","28072168","CPR INF-PRI-SEC","COLEGIO AQUILA","Calle Planeta Júpiter, 2 ","Parla","-","28983","914240913","914241464","Privado Concertado",NA,NA,"Calle Planeta Júpiter, 2  Parla",-3.7599362,40.2190175,"calle del planeta júpiter, 2, 28983 parla, madrid, spain"
"95","Madrid-Capital","28072132","CPR INF-PRI-SEC","COLEGIO CEU SAN PABLO EN SANCHINARRO","Avenida Del Alcalde Conde De Mayalde, 45 ","Madrid","Hortaleza","28050","913923440","-","Privado Concertado",NA,NA,"Avenida Del Alcalde Conde De Mayalde, 45  Madrid",-3.6509258,40.4936236,"av. del ing. emilio herrera, 45, 28050 madrid, spain"
"96","Madrid-Capital","28069285","CPR INF-PRI-SEC","COLEGIO GAUDEM","Calle De La Playa De Barlovento, 14 ","Madrid","Barajas","28042","913886477","913010182","Privado Concertado",NA,NA,"Calle De La Playa De Barlovento, 14  Madrid",-3.5938752,40.4733027,"calle playa de barlovento, 14, 28042 madrid, spain"
"97","Madrid-Este","28067422","CPR INF-PRI-SEC","COLEGIO MIRAMADRID","Avenida De Juan Pablo Ii, S/n ","Paracuellos de Jarama","-","28860","912688787","912688588","Privado Concertado",NA,NA,"Avenida De Juan Pablo Ii, S/n  Paracuellos de Jarama",-3.5117366,40.5031693,"av. juan pablo ii, 28860 paracuellos de jarama, madrid, spain"
"98","Madrid-Sur","28070159","CPR INF-PRI-SEC","COLEGIO NOBELIS","Calle María Zambrano, S/n ","Valdemoro","-","28341","918658125","918658108","Privado Concertado",NA,NA,"Calle María Zambrano, S/n  Valdemoro",-3.697726,40.1925791,"calle maría zambrano, 28342 valdemoro, madrid, spain"
"99","Madrid-Sur","28074074","CPR INF-PRI-SEC","COLEGIO PASTEUR ARROYOMOLINOS","Calle De Benicarló C/v A C/ Valencia, S/n ","Arroyomolinos","-","28939","911336734","911336735","Privado Concertado",NA,NA,"Calle De Benicarló C/v A C/ Valencia, S/n  Arroyomolinos",-3.9099472,40.2675622,"calle de valencia, s/n, 28939 arroyomolinos, madrid, spain"
"100","Madrid-Oeste","28065772","CPR INF-PRI-SEC","COLEGIO QUERCUS","Avenida De La Condesa De Chinchón, 21 ","Boadilla del Monte","-","28660","916338516","916339278","Privado Concertado",NA,NA,"Avenida De La Condesa De Chinchón, 21  Boadilla del Monte",-3.903116,40.404639,"av condesa de chinchón, 21, 28660 boadilla del monte, madrid, spain"
"101","Madrid-Oeste","28067631","CPR INF-PRI-SEC","COLEGIO SAN JAIME","Calle Ruperto Chapí ","Majadahonda","-","28222","916799246","916799298","Privado Concertado",NA,NA,"Calle Ruperto Chapí  Majadahonda",-3.869624,40.4478256,"calle ruperto chapí, 28222 majadahonda, madrid, spain"
"102","Madrid-Capital","28015033","CPR INF-PRI-SEC","COLEGIO SAN PEDRO APOSTOL","Calle De Babilonia, 19 ","Madrid","Barajas","28042","913055605","913056074","Privado Concertado",NA,NA,"Calle De Babilonia, 19  Madrid",-3.5882347,40.4675299,"calle babilonia, 19, 28042 madrid, spain"
"103","Madrid-Oeste","28064196","CPR INF-PRI-SEC","COLEGIO VALLMONT","Calle Mallorca, 2 ","Villanueva del Pardillo","-","28229","918102900","911413554","Privado Concertado",NA,NA,"Calle Mallorca, 2  Villanueva del Pardillo",-3.967198,40.4865429,"calle de mallorca, 2, 28229 villanueva del pardillo, madrid, spain"
"104","Madrid-Este","28073070","CPR INF-PRI-SEC","COLEGIO VEGASUR","Calle De Fernando El Católico, 8 ","San Martín de la Vega","-","28330","918087976","918087475","Privado Concertado",NA,NA,"Calle De Fernando El Católico, 8  San Martín de la Vega",-3.5830004,40.2119159,"calle fernando el católico, 8, 28330 san martín de la vega, madrid, spain"
"105","Madrid-Capital","28069273","CPR INF-PRI-SEC","COLEGIO VILLAMADRID","Calle Transversal Sexta, 17 ","Madrid","Villaverde","28021","917979272","917964834","Privado Concertado",NA,NA,"Calle Transversal Sexta, 17  Madrid",-3.6986587,40.3330105,"calle transversal sexta, 17, 28021 madrid, spain"
"106","Madrid-Capital","28014958","CPR INF-PRI-SEC","COLEGIO VIRGEN DE MIRASIERRA","Calle De La Maso, 103 ","Madrid","Fuencarral-El Pardo","28034","917387300","917399195","Privado Concertado",NA,NA,"Calle De La Maso, 103  Madrid",-3.7139613,40.4842565,"calle de la masó, 103, 28034 madrid, spain"
"107","Madrid-Capital","28035275","CPR INF-PRI-SEC","COMUNIDAD INFANTIL DE VILLAVERDE","Calle De Villastar, 10 ","Madrid","Villaverde","28021","917950884","917100331","Privado Concertado",NA,NA,"Calle De Villastar, 10  Madrid",-3.7115421,40.3432908,"calle villastar, 10, 28021 madrid, spain"
"108","Madrid-Oeste","28024198","CPR INF-PRI-SEC","CRISTO REY","Carretera De Las Rozas-majadahonda, 4 ","Rozas de Madrid, Las","-","28231","916392747","916342691","Privado Concertado",NA,NA,"Carretera De Las Rozas-majadahonda, 4  Rozas de Madrid, Las",-3.86853,40.4842795,"carr. de las rozas a majadahonda, 4, 28231 las rozas, madrid, spain"
"109","Madrid-Capital","28069261","CPR INF-PRI-SEC","EDITH STEIN","Calle Simca, 20 ","Madrid","Usera","28041","913412879","911739441","Privado Concertado",NA,NA,"Calle Simca, 20  Madrid",-3.7054528,40.3661453,"calle del simca, 20, 28041 madrid, spain"
"110","Madrid-Capital","28011490","CPR INF-PRI-SEC","EL CARMELO TERESIANO","Calle De Nuñomoral, 1 ","Madrid","Latina","28044","917052427","917106655","Privado Concertado",NA,NA,"Calle De Nuñomoral, 1  Madrid",-3.7793066,40.376934,"calle de nuñomoral, 1, 28044 madrid, spain"
"111","Madrid-Sur","28003742","CPR INF-PRI-SEC","EL SALVADOR","Calle San Vicente, 17 ","Leganés","-","28912","916864015","916864015","Privado Concertado",NA,NA,"Calle San Vicente, 17  Leganés",-3.7598948,40.3300412,"calle de san vicente, 17, 28912 leganés, madrid, spain"
"112","Madrid-Oeste","28023947","CPR INF-PRI-SEC","ESCUELAS PIAS DE SAN FERNANDO","Avenida Bularas, 1 ","Pozuelo de Alarcón","-","28224","917150408","913529833","Privado Concertado",NA,NA,"Avenida Bularas, 1  Pozuelo de Alarcón",-3.8141574,40.4468139,"av. de bularas, 1, 28224 pozuelo de alarcón, madrid, spain"
"113","Madrid-Capital","28037405","CPR INF-PRI-SEC","FUENTELARREYNA","Calle De Ramón Gómez De La Serna, 24 ","Madrid","Fuencarral-El Pardo","28035","913732328","913862655","Privado Concertado",NA,NA,"Calle De Ramón Gómez De La Serna, 24  Madrid",-3.7297403,40.4839364,"calle de ramón gómez de la serna, 24, 28035 madrid, spain"
"114","Madrid-Capital","28014478","CPR INF-PRI-SEC","FUNDACION SANTAMARCA","Calle De Marcenado, 50 ","Madrid","Chamartín","28002","914158640","914159740","Privado Concertado",NA,NA,"Calle De Marcenado, 50  Madrid",-3.6742049,40.4503298,"calle de marcenado, 50, 28002 madrid, spain"
"115","Madrid-Capital","28045566","CPR INF-PRI-SEC","GSD  VALLECAS","Avenida Del Parque De Palomeras Bajas, 14 ","Madrid","Puente de Vallecas","28018","917853412","917853822","Privado Concertado",NA,NA,"Avenida Del Parque De Palomeras Bajas, 14  Madrid",-3.6630947,40.3800273,"av. del parque de palomeras bajas, 14, 28018 madrid, spain"
"116","Madrid-Oeste","28061286","CPR INF-PRI-SEC","GSD EL ESCORIAL","Calle Principal, 1 ","Escorial, El","-","28292","918533521","918534907","Privado Concertado",NA,NA,"Calle Principal, 1  Escorial, El",-4.0456278,40.5858729,"calle principal, 1, 28292 el escorial, madrid, spain"
"117","Madrid-Sur","28063192","CPR INF-PRI-SEC","HELICON","Calle De María Curie, 19-21 ","Valdemoro","-","28342","918752232","918753548","Privado Concertado",NA,NA,"Calle De María Curie, 19-21  Valdemoro",-3.6885996,40.1974633,"calle maria curie, 19, 28342 valdemoro, madrid, spain"
"118","Madrid-Capital","28022475","CPR INF-PRI-SEC","INSTITUCION PROFESIONAL SALESIANA","Ronda De Don Bosco, 3 ","Madrid","Carabanchel","28044","915087640","915086152","Privado Concertado",NA,NA,"Ronda De Don Bosco, 3  Madrid",-3.7531306,40.374184,"ronda don bosco, 3, 28044 madrid, spain"
"119","Madrid-Oeste","28023935","CPR INF-PRI-SEC","INSTITUTO VERITAS","Avenida Radio Y Televisión, 2 ","Pozuelo de Alarcón","-","28223","913520547","913520429","Privado Concertado",NA,NA,"Avenida Radio Y Televisión, 2  Pozuelo de Alarcón",-3.79133,40.41514,"av. de radio televisión, 2, 28223 pozuelo de alarcón, madrid, spain"
"120","Madrid-Sur","28003110","CPR INF-PRI-SEC","JESUS NAZARENO","Calle Del Hospital De San José, 28 ","Getafe","-","28901","916950321","916962414","Privado Concertado",NA,NA,"Calle Del Hospital De San José, 28  Getafe",-3.7283578,40.305603,"calle hospital de san josé, 28, 28901 getafe, madrid, spain"
"121","Madrid-Capital","28062217","CPR INF-PRI-SEC","LA PURISIMA","Calle De Ricardo Ortiz, 29 ","Madrid","Ciudad Lineal","28017","917262805","913614212","Privado Concertado",NA,NA,"Calle De Ricardo Ortiz, 29  Madrid",-3.6579275,40.4276334,"calle de ricardo ortiz, 29, 28017 madrid, spain"
"122","Madrid-Capital","28011623","CPR INF-PRI-SEC","LICEO CONSUL","Calle De Peironcely, 7 ","Madrid","Puente de Vallecas","28053","917858714","917858809","Privado Concertado",NA,NA,"Calle De Peironcely, 7  Madrid",-3.6701428,40.3819936,"calle peironcely, 7, 28053 madrid, spain"
"123","Madrid-Este","28000492","CPR INF-PRI-SEC","LOPE DE VEGA","Calle De Luis De Medina, 12 ","Alcalá de Henares","-","28805","918893879","918892021","Privado Concertado",NA,NA,"Calle De Luis De Medina, 12  Alcalá de Henares",-3.3569581,40.4902239,"calle luis de medina, 12, 28805 alcalá de henares, madrid, spain"
"124","Madrid-Sur","28041275","CPR INF-PRI-SEC","LOS NARANJOS","Avenida De Las Comarcas, 70 ","Fuenlabrada","-","28941","916159690","916159500","Privado Concertado",NA,NA,"Avenida De Las Comarcas, 70  Fuenlabrada",-3.804157,40.299127,"av. de las comarcas, 70, 28941 fuenlabrada, madrid, spain"
"125","Madrid-Sur","28070101","CPR INF-PRI-SEC","LOS NOGALES","Camino De Villamanta, S/n ","Álamo, El","-","28607","918104457","918122399","Privado Concertado",NA,NA,"Camino De Villamanta, S/n  Álamo, El",-3.999229,40.234792,"camino de villamanta s/n, 28607 el álamo, madrid, spain"
"126","Madrid-Capital","28020235","CPR INF-PRI-SEC","LOURDES","Calle De San Roberto, 8 ","Madrid","Latina","28011","915180358","915184820","Privado Concertado",NA,NA,"Calle De San Roberto, 8  Madrid",-3.75966,40.40291,"calle san roberto, 8, 28011 madrid, spain"
"127","Madrid-Sur","28001605","CPR INF-PRI-SEC","LOYOLA","Calle De Valeras, 24 ","Aranjuez","-","28300","918910505","918923768","Privado Concertado",NA,NA,"Calle De Valeras, 24  Aranjuez",-3.609371,40.0280084,"calle valeras, 24, 28300 aranjuez, madrid, spain"
"128","Madrid-Este","28064238","CPR INF-PRI-SEC","MALVAR","Calle De La Solidaridad, 4 ","Arganda del Rey","-","28500","918759463","918759462","Privado Concertado",NA,NA,"Calle De La Solidaridad, 4  Arganda del Rey",-3.4448527,40.306999,"calle de la solidaridad, 4, 28500 arganda del rey, madrid, spain"
"129","Madrid-Oeste","28022839","CPR INF-PRI-SEC","MARIA AUXILIADORA","Calle Virgen De Iciar, 4 ","Majadahonda","-","28221","913077712","-","Privado Concertado",NA,NA,"Calle Virgen De Iciar, 4  Majadahonda",-3.8386072,40.4745416,"calle virgen de icíar, 4, 28221 majadahonda, madrid, spain"
"130","Madrid-Capital","28007954","CPR INF-PRI-SEC","MARIA REINA","Avenida De Orcasur, 42 ","Madrid","Usera","28041","913170237","913177644","Privado Concertado",NA,NA,"Avenida De Orcasur, 42  Madrid",-3.7010012,40.3649453,"av. orcasur, 42, 28041 madrid, spain"
"131","Madrid-Norte","28060105","CPR INF-PRI-SEC","MARIA TERESA","Calle De María Teresa, 4 ","Alcobendas","-","28100","912414021","-","Privado Concertado",NA,NA,"Calle De María Teresa, 4  Alcobendas",-3.6521265,40.5473583,"calle de maría teresa, 4, 28100 alcobendas, madrid, spain"
"132","Madrid-Capital","28016712","CPR INF-PRI-SEC","MATER PURISSIMA","Calle De La Madre Cándida María De Jesús, 4 ","Madrid","Usera","28026","914758054","915001210","Privado Concertado",NA,NA,"Calle De La Madre Cándida María De Jesús, 4  Madrid",-3.7017114,40.384665,"calle madre cándida maría de jesús, 4, 28026 madrid, spain"
"133","Madrid-Capital","28013292","CPR INF-PRI-SEC","MONTSERRAT","Calle De Juan Esplandiu, 2 Bis ","Madrid","Retiro","28007","915737507","915740486","Privado Concertado",NA,NA,"Calle De Juan Esplandiu, 2 Bis  Madrid",-3.664541,40.415971,"calle juan esplandiú, 2, 28007 madrid, spain"
"134","Madrid-Capital","28022499","CPR INF-PRI-SEC","NTRA. SRA. DE FATIMA","Calle De Manuel Muñoz, 30 ","Madrid","Usera","28026","914757880","914761234","Privado Concertado",NA,NA,"Calle De Manuel Muñoz, 30  Madrid",-3.7013206,40.3850929,"calle manuel muñoz, 30, 28026 madrid, spain"
"135","Madrid-Sur","28067707","CPR INF-PRI-SEC","NTRA. SRA. DE LA CONCEPCION","Calle De La Rastrojera, S/n ","Navalcarnero","-","28600","918184464","918184465","Privado Concertado",NA,NA,"Calle De La Rastrojera, S/n  Navalcarnero",-4.0059468,40.3025045,"calle de la rastrojera, 28600 navalcarnero, madrid, spain"
"136","Madrid-Capital","28013280","CPR INF-PRI-SEC","NTRA. SRA. DE LA MERCED","Calle De José Luis De Arrese, 5 ","Madrid","Ciudad Lineal","28017","913556394","913611306","Privado Concertado",NA,NA,"Calle De José Luis De Arrese, 5  Madrid",-3.6550759,40.4222374,"calle del poeta blas de otero, 5, 28017 madrid, spain"
"137","Madrid-Norte","28062813","CPR INF-PRI-SEC","NTRA. SRA. DE LA MERCED","Calle Del Fuego, 9 ","Tres Cantos","-","28760","918062571","918062575","Privado Concertado",NA,NA,"Calle Del Fuego, 9  Tres Cantos",-3.72051,40.61266,"calle del fuego, 9, 28760 tres cantos, madrid, spain"
"138","Madrid-Capital","28013115","CPR INF-PRI-SEC","NTRA. SRA. DE LAS ESCUELAS PIAS","Calle De Eugenia De Montijo, 83 ","Madrid","Carabanchel","28044","914654400","914654511","Privado Concertado",NA,NA,"Calle De Eugenia De Montijo, 83  Madrid",-3.7502538,40.3758088,"calle de eugenia de montijo, 83, 28044 madrid, spain"
"139","Madrid-Capital","28008405","CPR INF-PRI-SEC","NTRA. SRA. DE LAS NIEVES","Calle De Alcalá, 589 ","Madrid","San Blas-Canillejas","28022","917410009","917410009","Privado Concertado",NA,NA,"Calle De Alcalá, 589  Madrid",-3.6137309,40.4458583,"calle de alcalá, 589, 28022 madrid, spain"
"140","Madrid-Capital","28012949","CPR INF-PRI-SEC","NTRA. SRA. DE LOS ANGELES","Calle De La Canción Del Olvido, 55 ","Madrid","Villaverde","28041","913176203","913699397","Privado Concertado",NA,NA,"Calle De La Canción Del Olvido, 55  Madrid",-3.6998083,40.3559422,"calle la canción del olvido, 55, 28041 madrid, spain"
"141","Madrid-Sur","28000901","CPR INF-PRI-SEC","NTRA. SRA. DE RIHONDO","Avenida De Pablo Iglesias, 2 ","Alcorcón","-","28922","916442053","-","Privado Concertado",NA,NA,"Avenida De Pablo Iglesias, 2  Alcorcón",-3.8363887,40.344459,"av. pablo iglesias, 2, 28922 alcorcón, madrid, spain"
"142","Madrid-Capital","28013036","CPR INF-PRI-SEC","NTRA. SRA. DEL CARMEN","Avenida Real De Pinto, 41 ","Madrid","Villaverde","28021","917970146","-","Privado Concertado",NA,NA,"Avenida Real De Pinto, 41  Madrid",-3.7066194,40.3450003,"av. real de pinto, 41, 28021 madrid, spain"
"143","Madrid-Capital","28013401","CPR INF-PRI-SEC","NTRA. SRA. DEL SAGRADO CORAZON","Calle De La Grandeza Española, 89 ","Madrid","Latina","28011","914639400","914797260","Privado Concertado",NA,NA,"Calle De La Grandeza Española, 89  Madrid",-3.7354722,40.4094146,"calle de la grandeza española, 89, 28011 madrid, spain"
"144","Madrid-Capital","28008387","CPR INF-PRI-SEC","OBRA SO.N.S.MONTSERRAT-S.SIMON Y S.JUDAS","Calle De Trévelez, 3 ","Madrid","Usera","28041","913175643","913172496","Privado Concertado",NA,NA,"Calle De Trévelez, 3  Madrid",-3.7034545,40.3650748,"calle trevélez, 3, 28041 madrid, spain"
"145","Madrid-Capital","28008791","CPR INF-PRI-SEC","PURISIMA CONCEPCION","Calle De La Puebla, 20 ","Madrid","Centro","28004","915219758","915232836","Privado Concertado",NA,NA,"Calle De La Puebla, 20  Madrid",-3.7035974,40.4223003,"calle de la puebla, 20, 28004 madrid, spain"
"146","Madrid-Capital","28013607","CPR INF-PRI-SEC","RAIMUNDO LULIO","Avenida De San Diego, 63 ","Madrid","Puente de Vallecas","28018","914781997","914789043","Privado Concertado",NA,NA,"Avenida De San Diego, 63  Madrid",-3.6678712,40.3866776,"av. de san diego, 63, 28053 madrid, spain"
"147","Madrid-Oeste","28024393","CPR INF-PRI-SEC","REAL COLEGIO ALFONSO XII","Avenida Juan De Borbón Y Battenberg, 2 ","San Lorenzo de El Escorial","-","28200","918905711","918903190","Privado Concertado",NA,NA,"Avenida Juan De Borbón Y Battenberg, 2  San Lorenzo de El Escorial",-4.146222,40.5903669,"av. juan de borbón y battenberg, 2, 28200 san lorenzo de el escorial, madrid, spain"
"148","Madrid-Capital","28013191","CPR INF-PRI-SEC","REAL COLEGIO NTRA. SRA. DE LORETO","Calle De O'donnell, 61 ","Madrid","Salamanca","28009","915733210","915737624","Privado Concertado",NA,NA,"Calle De O'donnell, 61  Madrid",-3.6695105,40.4213623,"calle de o'donnell, 61, 28009 madrid, spain"
"149","Madrid-Capital","28046509","CPR INF-PRI-SEC","SAGRADA FAMILIA","Calle De Oberón, 6 ","Madrid","Moratalaz","28030","913015281","913015287","Privado Concertado",NA,NA,"Calle De Oberón, 6  Madrid",-3.6352463,40.4065734,"calle oberon, 6, 28030 madrid, spain"
"150","Madrid-Oeste","28029573","CPR INF-PRI-SEC","SAGRADO CORAZON REPARADORAS","Avenida Guadarrama, 10 ","Majadahonda","-","28220","916387711","916344174","Privado Concertado",NA,NA,"Avenida Guadarrama, 10  Majadahonda",-3.8702708,40.4802187,"av. guadarrama, 10, 28220 majadahonda, madrid, spain"
"151","Madrid-Oeste","28025166","CPR INF-PRI-SEC","SAN IGNACIO DE LOYOLA","Paseo De Andrés Vergara, 5 ","Torrelodones","-","28250","918544989","918544988","Privado Concertado",NA,NA,"Paseo De Andrés Vergara, 5  Torrelodones",-3.9526561,40.577135,"paseo andrés vergara, 5, 28250 torrelodones, madrid, spain"
"152","Madrid-Capital","28009185","CPR INF-PRI-SEC","SAN JAIME APOSTOL","Calle De Juan José Martínez Seco, 54 ","Madrid","Villaverde","28021","917980889","917230249","Privado Concertado",NA,NA,"Calle De Juan José Martínez Seco, 54  Madrid",-3.6882497,40.3516371,"calle de juan josé martínez seco, 54, 28021 madrid, spain"
"153","Madrid-Sur","28003134","CPR INF-PRI-SEC","SAN JOSE","Calle Velasco, 2 ","Getafe","-","28901","916953969","916817171","Privado Concertado",NA,NA,"Calle Velasco, 2  Getafe",-3.7305129,40.3085357,"calle velasco, 2, 28901 getafe, madrid, spain"
"154","Madrid-Sur","28025336","CPR INF-PRI-SEC","SAN JOSE","Plaza Del Conde, 5 ","Valdemoro","-","28342","918950922","918954360","Privado Concertado",NA,NA,"Plaza Del Conde, 5  Valdemoro",-3.6782741,40.1921987,"plaza del conde, 5, 28342 valdemoro, madrid, spain"
"155","Madrid-Oeste","28023832","CPR INF-PRI-SEC","SAN JOSE DE CLUNY","Avenida Juan Xxiii, 7 ","Pozuelo de Alarcón","-","28224","913520648","913524025","Privado Concertado",NA,NA,"Avenida Juan Xxiii, 7  Pozuelo de Alarcón",-3.8053327,40.4480096,"av. juan xxiii, 7, 28224 pozuelo de alarcón, madrid, spain"
"156","Madrid-Capital","28009291","CPR INF-PRI-SEC","SAN JUAN BAUTISTA","Calle De Francos Rodríguez, 5 ","Madrid","Tetuán","28039","914500000","914501951","Privado Concertado",NA,NA,"Calle De Francos Rodríguez, 5  Madrid",-3.7040498,40.4551003,"calle de francos rodríguez, 5, 28039 madrid, spain"
"157","Madrid-Capital","28014417","CPR INF-PRI-SEC","SANTA FRANCISCA JAVIER CABRINI","Calle De Santa Francisca Javier Cabrini, 2 ","Madrid","Hortaleza","28043","913002513","913889463","Privado Concertado",NA,NA,"Calle De Santa Francisca Javier Cabrini, 2  Madrid",-3.6378023,40.4642827,"calle sta. francisca javier cabrini, 2, 28043 madrid, spain"
"158","Madrid-Capital","28014533","CPR INF-PRI-SEC","SANTA RITA","Calle De Eugenia De Montijo, 53 ","Madrid","Carabanchel","28025","914628683","914618210","Privado Concertado",NA,NA,"Calle De Eugenia De Montijo, 53  Madrid",-3.7441834,40.3809778,"calle de eugenia de montijo, 53, 28025 madrid, spain"
"159","Madrid-Sur","28023716","CPR INF-PRI-SEC","SANTO DOMINGO DE SILOS","Calle De Santa Teresa, 7 ","Pinto","-","28320","916912950","916920696","Privado Concertado",NA,NA,"Calle De Santa Teresa, 7  Pinto",-3.6958423,40.239371,"calle de sta. teresa, 7, 28320 pinto, madrid, spain"
"160","Madrid-Capital","28022335","CPR INF-PRI-SEC","TRABENCO","Calle De La Reguera De Tomateros, 103 ","Madrid","Puente de Vallecas","28053","917856368","915079149","Privado Concertado",NA,NA,"Calle De La Reguera De Tomateros, 103  Madrid",-3.6581303,40.3708615,"calle reguera de tomateros, 103, 28053 madrid, spain"
"161","Madrid-Sur","28023066","CPR INF-PRI-SEC","VILLA DE MOSTOLES","Calle Camino De Humanes, 40 ","Móstoles","-","28938","916453055","916457401","Privado Concertado",NA,NA,"Calle Camino De Humanes, 40  Móstoles",-3.8573061,40.313439,"calle camino de humanes, 40, 28938 móstoles, madrid, spain"
"162","Madrid-Sur","28057881","CPR INF-PRI-SEC","VILLA DE NAVALCARNERO","Calle De La Estrella, 37 ","Navalcarnero","-","28600","918111551","918114466","Privado Concertado",NA,NA,"Calle De La Estrella, 37  Navalcarnero",-4.0081367,40.2852912,"calle de la estrella, 37, 28600 navalcarnero, madrid, spain"
"163","Madrid-Oeste","28041101","CPR INF-PRI-SEC","ZOLA-ROZAS","Avenida Esparta, 6 ","Rozas de Madrid, Las","-","28232","916316253","916316158","Privado Concertado",NA,NA,"Avenida Esparta, 6  Rozas de Madrid, Las",-3.91351,40.51302,"av. de esparta, 6, 28232 las rozas, madrid, spain"
